metric_category	metric_name	value	interpretation
entropy_distribution	mean	111.638665	Average entropy across files
entropy_distribution	std	3.354902	Standard deviation of entropy
entropy_distribution	skewness	0.150893	Distribution asymmetry
entropy_distribution	kurtosis	0.867259	Distribution tail heaviness
complexity_distribution	mean	32.666667	Average complexity
complexity_distribution	std	39.292352	Complexity variation
complexity_distribution	max	148.000000	Maximum complexity
landscape	entropy_complexity_correlation	-0.044448	Entropy-complexity correlation
landscape	hotspot_density	0.000000	Proportion of high-entropy files
landscape	signature	1200	4-char landscape fingerprint
