metric_category	metric_name	value	interpretation
entropy_distribution	mean	112.019938	Average entropy across files
entropy_distribution	std	3.485682	Standard deviation of entropy
entropy_distribution	skewness	0.038940	Distribution asymmetry
entropy_distribution	kurtosis	0.948503	Distribution tail heaviness
complexity_distribution	mean	32.547619	Average complexity
complexity_distribution	std	39.039786	Complexity variation
complexity_distribution	max	147.000000	Maximum complexity
landscape	entropy_complexity_correlation	0.085598	Entropy-complexity correlation
landscape	hotspot_density	0.023810	Proportion of high-entropy files
landscape	signature	1200	4-char landscape fingerprint
