method,pdb_id,target_name,rmsd,best_mode_rmsd,time_s,score,energy_gap,native_rank,gap_proof,target_class,binding_mode
DQv1,1hk4,HUMAN SERUM ALBUMIN COMPLEXED WITH THYROXINE,0.1791012436151504,0.1791012436151504,18.43653154373169,-4.962478160858154,0.0692791938781738,7.0,proved,other,standard
DQv1,1gni,HUMAN SERUM ALBUMIN COMPLEXED WITH CIS-9-OCTADECENOIC ACID,0.7095267176628113,0.7095267176628113,19.53746342658997,-4.645695209503174,0.2140045166015625,93.0,proved,other,standard
DQv1,1nhu,HEPATITIS C VIRUS RNA POLYMERASE IN COMPLEX WITH,0.4493561387062073,0.4493561387062073,18.81152892112732,-4.610044956207275,0.0099387168884277,1.0,proved,transferase,standard
DQv1,2d3z,X-RAY CRYSTAL STRUCTURE OF HEPATITIS C VIRUS RNA-DEPENDENT,0.4082312881946563,0.4082312881946563,18.489930152893063,-5.407583713531494,0.2424497604370117,20.0,proved,transferase,standard
DQv1,2d3u,X-RAY CRYSTAL STRUCTURE OF HEPATITIS C VIRUS RNA DEPENDENT,0.4899197816848755,0.4899197816848755,19.51109743118286,-5.938568592071533,0.453129768371582,65.0,proved,transferase,standard
DQv1,1ajp,"PENICILLIN ACYLASE COMPLEXED WITH 2,5-DIHYDROXYPHENYLACETIC",1.072787880897522,1.072787880897522,19.709794282913208,-3.8464643955230713,0.1470210552215576,52.0,proved,hydrolase,standard
DQv1,1ai5,PENICILLIN ACYLASE COMPLEXED WITH M-NITROPHENYLACETIC ACID,0.5974417924880981,0.5974417924880981,19.711368083953857,-3.9827728271484375,0.2341468334197998,63.0,proved,hydrolase,standard
DQv1,1ajq,PENICILLIN ACYLASE COMPLEXED WITH THIOPHENEACETIC ACID,0.3357986807823181,0.3357986807823181,19.150357484817505,-3.260068655014038,0.2151350975036621,28.0,proved,hydrolase,standard
DQv1,1gpk,STRUCTURE OF ACETYLCHOLINESTERASE COMPLEX WITH,0.2744768559932709,0.2744768559932709,19.45591950416565,-5.782873630523682,0.1108226776123046,21.0,proved,hydrolase,standard
DQv1,1h23,STRUCTURE OF ACETYLCHOLINESTERASE (E.C. 3.1.1.7) COMPLEXED,0.3170445263385772,0.3170445263385772,20.049546003341675,-7.771501064300537,0.0181074142456054,1.0,proved,hydrolase,standard
DQv1,1e66,STRUCTURE OF ACETYLCHOLINESTERASE COMPLEXED WITH,0.2088392525911331,0.2088392525911331,18.97627878189087,-7.366549015045166,0.0621891021728515,1.0,proved,hydrolase,standard
DQv1,2rkm,STRUCTURE OF OPPA COMPLEXED WITH LYS-LYS,0.45728200674057,0.45728200674057,18.101967096328732,-2.8646864891052246,0.0455470085144043,21.0,proved,transport,multi_residue
