metric_category	metric_name	value	interpretation
entropy_distribution	mean	111.431034	Average entropy across files
entropy_distribution	std	3.894279	Standard deviation of entropy
entropy_distribution	skewness	-0.254691	Distribution asymmetry
entropy_distribution	kurtosis	1.146493	Distribution tail heaviness
complexity_distribution	mean	27.870370	Average complexity
complexity_distribution	std	35.034928	Complexity variation
complexity_distribution	max	135.000000	Maximum complexity
landscape	entropy_complexity_correlation	0.118392	Entropy-complexity correlation
landscape	hotspot_density	0.018519	Proportion of high-entropy files
landscape	signature	1200	4-char landscape fingerprint
