metric_category	metric_name	value	interpretation
entropy_distribution	mean	110.965316	Average entropy across files
entropy_distribution	std	4.120325	Standard deviation of entropy
entropy_distribution	skewness	-0.224737	Distribution asymmetry
entropy_distribution	kurtosis	0.566105	Distribution tail heaviness
complexity_distribution	mean	27.779661	Average complexity
complexity_distribution	std	33.681996	Complexity variation
complexity_distribution	max	135.000000	Maximum complexity
landscape	entropy_complexity_correlation	0.099891	Entropy-complexity correlation
landscape	hotspot_density	0.016949	Proportion of high-entropy files
landscape	signature	1200	4-char landscape fingerprint
