metric_category	metric_name	value	interpretation
entropy_distribution	mean	110.986467	Average entropy across files
entropy_distribution	std	3.535109	Standard deviation of entropy
entropy_distribution	skewness	0.781120	Distribution asymmetry
entropy_distribution	kurtosis	0.468133	Distribution tail heaviness
complexity_distribution	mean	21.741935	Average complexity
complexity_distribution	std	19.915900	Complexity variation
complexity_distribution	max	73.000000	Maximum complexity
landscape	entropy_complexity_correlation	-0.478860	Entropy-complexity correlation
landscape	hotspot_density	0.032258	Proportion of high-entropy files
landscape	signature	1201	4-char landscape fingerprint
