metric_category	metric_name	value	interpretation
entropy_distribution	mean	111.344613	Average entropy across files
entropy_distribution	std	3.478772	Standard deviation of entropy
entropy_distribution	skewness	0.202433	Distribution asymmetry
entropy_distribution	kurtosis	0.732174	Distribution tail heaviness
complexity_distribution	mean	32.390244	Average complexity
complexity_distribution	std	39.365007	Complexity variation
complexity_distribution	max	147.000000	Maximum complexity
landscape	entropy_complexity_correlation	-0.027078	Entropy-complexity correlation
landscape	hotspot_density	0.000000	Proportion of high-entropy files
landscape	signature	1200	4-char landscape fingerprint
