metric_category	metric_name	value	interpretation
entropy_distribution	mean	110.925212	Average entropy across files
entropy_distribution	std	3.258402	Standard deviation of entropy
entropy_distribution	skewness	0.699070	Distribution asymmetry
entropy_distribution	kurtosis	0.669297	Distribution tail heaviness
complexity_distribution	mean	19.516129	Average complexity
complexity_distribution	std	16.920823	Complexity variation
complexity_distribution	max	68.000000	Maximum complexity
landscape	entropy_complexity_correlation	-0.488301	Entropy-complexity correlation
landscape	hotspot_density	0.032258	Proportion of high-entropy files
landscape	signature	1201	4-char landscape fingerprint
