metric_category	metric_name	value	interpretation
entropy_distribution	mean	111.212727	Average entropy across files
entropy_distribution	std	3.968871	Standard deviation of entropy
entropy_distribution	skewness	-0.245676	Distribution asymmetry
entropy_distribution	kurtosis	0.957958	Distribution tail heaviness
complexity_distribution	mean	27.473684	Average complexity
complexity_distribution	std	34.198648	Complexity variation
complexity_distribution	max	135.000000	Maximum complexity
landscape	entropy_complexity_correlation	0.123444	Entropy-complexity correlation
landscape	hotspot_density	0.017544	Proportion of high-entropy files
landscape	signature	1200	4-char landscape fingerprint
