metric_category	metric_name	value	interpretation
entropy_distribution	mean	111.335525	Average entropy across files
entropy_distribution	std	3.106766	Standard deviation of entropy
entropy_distribution	skewness	0.778644	Distribution asymmetry
entropy_distribution	kurtosis	0.921406	Distribution tail heaviness
complexity_distribution	mean	17.392857	Average complexity
complexity_distribution	std	15.159484	Complexity variation
complexity_distribution	max	68.000000	Maximum complexity
landscape	entropy_complexity_correlation	-0.476180	Entropy-complexity correlation
landscape	hotspot_density	0.035714	Proportion of high-entropy files
landscape	signature	1201	4-char landscape fingerprint
