framework_level	framework_name	issues_found	tier	mathematical_weight	weighted_score	status
1	basic	28	Basic	1.0	28.0	HIGH
2	information	54	Basic	1.2	64.8	CRITICAL
3	topology	2	Basic	1.3	2.6	LOW
4	spectral	6	Basic	1.4	8.4	MEDIUM
5	unified	62	Basic	1.5	93.0	CRITICAL
6	persistent	2	Ultimate	2.0	4.0	LOW
7	k_theory	2	Ultimate	1.8	3.6	LOW
8	ultimate	4	Ultimate	2.2	8.8	LOW
9	percolation	1	Advanced	1.6	1.6	LOW
10	random_matrix	18	Advanced	2.1	37.8	MEDIUM
11	gauge	0	Advanced	1.9	0.0	LOW
12	spin_glass	8	Advanced	1.7	13.6	MEDIUM
13	knot	0	Next-Gen	2.3	0.0	LOW
14	matroid	9	Next-Gen	1.8	16.2	MEDIUM
15	category	13	Next-Gen	2.0	26.0	MEDIUM
16	tropical	62	Next-Gen	1.9	117.8	CRITICAL
17	advanced_combined	18	Next-Gen	2.5	45.0	MEDIUM
