framework_level	framework_name	issues_found	tier	mathematical_weight	weighted_score	status
1	basic	30	Basic	1.0	30.0	HIGH
2	information	65	Basic	1.2	78.0	CRITICAL
3	topology	1	Basic	1.3	1.3	LOW
4	spectral	6	Basic	1.4	8.4	MEDIUM
5	unified	72	Basic	1.5	108.0	CRITICAL
6	persistent	1	Ultimate	2.0	2.0	LOW
7	k_theory	2	Ultimate	1.8	3.6	LOW
8	ultimate	3	Ultimate	2.2	6.6	LOW
9	percolation	1	Advanced	1.6	1.6	LOW
10	random_matrix	20	Advanced	2.1	42.0	MEDIUM
11	gauge	0	Advanced	1.9	0.0	LOW
12	spin_glass	9	Advanced	1.7	15.3	MEDIUM
13	knot	0	Next-Gen	2.3	0.0	LOW
14	matroid	9	Next-Gen	1.8	16.2	MEDIUM
15	category	15	Next-Gen	2.0	30.0	MEDIUM
16	tropical	72	Next-Gen	1.9	136.8	CRITICAL
17	advanced_combined	20	Next-Gen	2.5	50.0	MEDIUM
