metric_category	metric_name	value	interpretation
entropy_distribution	mean	111.850701	Average entropy across files
entropy_distribution	std	3.389123	Standard deviation of entropy
entropy_distribution	skewness	-0.012797	Distribution asymmetry
entropy_distribution	kurtosis	0.718582	Distribution tail heaviness
complexity_distribution	mean	32.404762	Average complexity
complexity_distribution	std	38.712038	Complexity variation
complexity_distribution	max	145.000000	Maximum complexity
landscape	entropy_complexity_correlation	0.037087	Entropy-complexity correlation
landscape	hotspot_density	0.000000	Proportion of high-entropy files
landscape	signature	1200	4-char landscape fingerprint
