metric_category	metric_name	value	interpretation
entropy_distribution	mean	111.807138	Average entropy across files
entropy_distribution	std	3.360570	Standard deviation of entropy
entropy_distribution	skewness	0.007485	Distribution asymmetry
entropy_distribution	kurtosis	0.827672	Distribution tail heaviness
complexity_distribution	mean	32.333333	Average complexity
complexity_distribution	std	38.680416	Complexity variation
complexity_distribution	max	145.000000	Maximum complexity
landscape	entropy_complexity_correlation	0.029206	Entropy-complexity correlation
landscape	hotspot_density	0.000000	Proportion of high-entropy files
landscape	signature	1200	4-char landscape fingerprint
