metric_category	metric_name	value	interpretation
entropy_distribution	mean	111.997382	Average entropy across files
entropy_distribution	std	3.478714	Standard deviation of entropy
entropy_distribution	skewness	0.055497	Distribution asymmetry
entropy_distribution	kurtosis	0.978669	Distribution tail heaviness
complexity_distribution	mean	32.571429	Average complexity
complexity_distribution	std	39.084245	Complexity variation
complexity_distribution	max	147.000000	Maximum complexity
landscape	entropy_complexity_correlation	0.080264	Entropy-complexity correlation
landscape	hotspot_density	0.023810	Proportion of high-entropy files
landscape	signature	1200	4-char landscape fingerprint
