metric_category	metric_name	value	interpretation
entropy_distribution	mean	111.710710	Average entropy across files
entropy_distribution	std	3.356578	Standard deviation of entropy
entropy_distribution	skewness	0.090513	Distribution asymmetry
entropy_distribution	kurtosis	0.849370	Distribution tail heaviness
complexity_distribution	mean	32.523810	Average complexity
complexity_distribution	std	38.973274	Complexity variation
complexity_distribution	max	145.000000	Maximum complexity
landscape	entropy_complexity_correlation	-0.013477	Entropy-complexity correlation
landscape	hotspot_density	0.000000	Proportion of high-entropy files
landscape	signature	1200	4-char landscape fingerprint
