metric_category	metric_name	value	interpretation
entropy_distribution	mean	111.412913	Average entropy across files
entropy_distribution	std	3.418775	Standard deviation of entropy
entropy_distribution	skewness	0.365232	Distribution asymmetry
entropy_distribution	kurtosis	0.861642	Distribution tail heaviness
complexity_distribution	mean	34.026316	Average complexity
complexity_distribution	std	38.745789	Complexity variation
complexity_distribution	max	147.000000	Maximum complexity
landscape	entropy_complexity_correlation	-0.092260	Entropy-complexity correlation
landscape	hotspot_density	0.000000	Proportion of high-entropy files
landscape	signature	1200	4-char landscape fingerprint
