metric_category	metric_name	value	interpretation
entropy_distribution	mean	111.680792	Average entropy across files
entropy_distribution	std	3.352202	Standard deviation of entropy
entropy_distribution	skewness	0.116539	Distribution asymmetry
entropy_distribution	kurtosis	0.872797	Distribution tail heaviness
complexity_distribution	mean	32.500000	Average complexity
complexity_distribution	std	38.932328	Complexity variation
complexity_distribution	max	145.000000	Maximum complexity
landscape	entropy_complexity_correlation	-0.030313	Entropy-complexity correlation
landscape	hotspot_density	0.000000	Proportion of high-entropy files
landscape	signature	1200	4-char landscape fingerprint
