metric_category	metric_name	value	interpretation
entropy_distribution	mean	112.083339	Average entropy across files
entropy_distribution	std	3.524940	Standard deviation of entropy
entropy_distribution	skewness	0.019587	Distribution asymmetry
entropy_distribution	kurtosis	0.808044	Distribution tail heaviness
complexity_distribution	mean	32.595238	Average complexity
complexity_distribution	std	38.937104	Complexity variation
complexity_distribution	max	145.000000	Maximum complexity
landscape	entropy_complexity_correlation	0.080752	Entropy-complexity correlation
landscape	hotspot_density	0.023810	Proportion of high-entropy files
landscape	signature	1200	4-char landscape fingerprint
