metric_category	metric_name	value	interpretation
entropy_distribution	mean	111.228779	Average entropy across files
entropy_distribution	std	3.110555	Standard deviation of entropy
entropy_distribution	skewness	0.799969	Distribution asymmetry
entropy_distribution	kurtosis	0.943635	Distribution tail heaviness
complexity_distribution	mean	19.068966	Average complexity
complexity_distribution	std	17.188471	Complexity variation
complexity_distribution	max	68.000000	Maximum complexity
landscape	entropy_complexity_correlation	-0.516113	Entropy-complexity correlation
landscape	hotspot_density	0.034483	Proportion of high-entropy files
landscape	signature	1201	4-char landscape fingerprint
