metric_category	metric_name	value	interpretation
entropy_distribution	mean	111.408075	Average entropy across files
entropy_distribution	std	3.414655	Standard deviation of entropy
entropy_distribution	skewness	0.367723	Distribution asymmetry
entropy_distribution	kurtosis	0.878884	Distribution tail heaviness
complexity_distribution	mean	34.631579	Average complexity
complexity_distribution	std	39.659353	Complexity variation
complexity_distribution	max	147.000000	Maximum complexity
landscape	entropy_complexity_correlation	-0.079352	Entropy-complexity correlation
landscape	hotspot_density	0.000000	Proportion of high-entropy files
landscape	signature	1200	4-char landscape fingerprint
